epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
33,0.0481607431689475,0.13759133219718933,nan,0.18376323580741882,nan,0.9540833333333333,nan,0.18376323580741882,0.9540833333333333,train,0.18558191421475492,26.673309326171875,14.559284210205078
34,0.04278833398778303,0.13515478372573853,nan,0.1814388930797577,nan,0.95345,nan,0.1814388930797577,0.95345,train,0.18198188726327566,26.672569274902344,14.637503623962402
35,0.037651019814126656,0.1300588846206665,nan,0.17644277215003967,nan,0.9561166666666666,nan,0.17644277215003967,0.9561166666666666,train,0.17916010890497583,26.670961380004883,14.708410263061523
36,0.032769910973868326,0.12740933895111084,nan,0.173879012465477,nan,0.9578833333333333,nan,0.173879012465477,0.9578833333333333,train,0.17646051546149671,26.668567657470703,14.770953178405762
37,0.02816506499022725,0.1237761527299881,nan,0.1703176498413086,nan,0.9593833333333334,nan,0.1703176498413086,0.9593833333333334,train,0.17440365721930318,26.665340423583984,14.825297355651855
38,0.023855404163086583,0.12321643531322479,nan,0.1698201596736908,nan,0.9602833333333334,nan,0.1698201596736908,0.9602833333333334,train,0.17231670673340876,26.6622257232666,14.872798919677734
39,0.01985863781320435,0.12143611162900925,nan,0.16809089481830597,nan,0.9605833333333333,nan,0.16809089481830597,0.9605833333333333,train,0.17051063142796316,26.659101486206055,14.912681579589844
40,0.01619118951081594,0.11960598826408386,nan,0.16630254685878754,nan,0.9612166666666667,nan,0.16630254685878754,0.9612166666666667,train,0.16867382294619515,26.65594482421875,14.946301460266113
41,0.012868129587661082,0.11825122684240341,nan,0.16498176753520966,nan,0.9623333333333334,nan,0.16498176753520966,0.9623333333333334,train,0.16729121744982214,26.653404235839844,14.973543167114258
42,0.009903113209758098,0.11730742454528809,nan,0.16406337916851044,nan,0.96235,nan,0.16406337916851044,0.96235,train,0.1660130440330963,26.65106964111328,14.99465560913086
43,0.007308324265397837,0.11657526344060898,nan,0.16334953904151917,nan,0.9631,nan,0.16334953904151917,0.9631,train,0.16484930969155165,26.649112701416016,15.010343551635742
44,0.005094425298933148,0.11659083515405655,nan,0.16337858140468597,nan,0.9626166666666667,nan,0.16337858140468597,0.9626166666666667,train,0.16400280423255872,26.64785385131836,15.021547317504883
45,0.003270513696097055,0.11546103656291962,nan,0.1622571498155594,nan,0.9635833333333333,nan,0.1622571498155594,0.9635833333333333,train,0.1633235768420991,26.646923065185547,15.028759002685547
46,0.0018440843008934672,0.11534713208675385,nan,0.1621478796005249,nan,0.9631833333333333,nan,0.1621478796005249,0.9631833333333333,train,0.1627047305771791,26.646358489990234,15.032844543457031
47,0.0008209986176753947,0.1151503473520279,nan,0.16195324063301086,nan,0.96355,nan,0.16195324063301086,0.96355,train,0.16228822637786236,26.646120071411133,15.034696578979492
48,0.00020546072496636648,0.11511674523353577,nan,0.16192036867141724,nan,0.9636,nan,0.16192036867141724,0.9636,train,0.16202502697706223,26.646120071411133,15.035186767578125
49,0.0,0.11511674523353577,nan,0.16192036867141724,nan,0.9636,nan,0.16192036867141724,0.9636,train,0.1619196544165042,26.646120071411133,15.035186767578125
